epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,392.91,1.91028,4.27957,2.94003,0.01801,0.99982,0.0349,0.03351,0.37384,2.65622,0.8674,0.00333163,0.00333163,0.00333163
2,742.501,0.65002,2.88352,1.34045,0.5187,0.46809,0.31339,0.3106,0.20881,1.56286,0.56082,0.00659898,0.00659898,0.00659898
3,1086.13,0.51713,1.945,1.15555,0.6066,0.73477,0.72907,0.72125,0.22053,0.78578,0.5242,0.00980033,0.00980033,0.00980033
4,1428.05,0.44251,1.351,1.07493,0.86331,0.89685,0.89714,0.88983,0.19204,0.39689,0.48164,0.009703,0.009703,0.009703
5,1773.3,0.38655,1.08758,1.03059,0.88018,0.93696,0.92995,0.92581,0.16855,0.29289,0.45909,0.009604,0.009604,0.009604
6,2124.75,0.35019,0.96436,1.00712,0.88934,0.94181,0.93482,0.93113,0.17465,0.27058,0.45766,0.009505,0.009505,0.009505
7,2468.52,0.32684,0.88959,0.99468,0.90536,0.95827,0.94292,0.93944,0.16696,0.23795,0.44364,0.009406,0.009406,0.009406
8,2811.94,0.30975,0.84219,0.98355,0.92602,0.95709,0.94837,0.94532,0.16706,0.21544,0.44384,0.009307,0.009307,0.009307
9,3155.99,0.29762,0.79765,0.97801,0.91538,0.96782,0.94915,0.94635,0.14838,0.18656,0.43184,0.009208,0.009208,0.009208
10,3499.83,0.28812,0.77089,0.97265,0.92008,0.97325,0.95134,0.94937,0.15726,0.18998,0.43182,0.009109,0.009109,0.009109
11,3843.19,0.27972,0.75034,0.96786,0.92494,0.97277,0.95978,0.95701,0.1721,0.19399,0.43657,0.00901,0.00901,0.00901
12,4187.08,0.27379,0.73009,0.96499,0.94256,0.98358,0.97502,0.97375,0.13905,0.15549,0.41085,0.008911,0.008911,0.008911
13,4530.51,0.26833,0.71454,0.9624,0.9484,0.97317,0.97722,0.97603,0.14577,0.17303,0.42155,0.008812,0.008812,0.008812
14,4873.64,0.26339,0.69978,0.95923,0.95536,0.98015,0.97803,0.97753,0.13242,0.141,0.40649,0.008713,0.008713,0.008713
15,5216.81,0.25906,0.69154,0.95801,0.9502,0.98007,0.97506,0.97371,0.15052,0.15613,0.42687,0.008614,0.008614,0.008614
16,5557.4,0.25443,0.67939,0.95624,0.96373,0.97622,0.98224,0.9806,0.14971,0.15451,0.41845,0.008515,0.008515,0.008515
17,5893.43,0.25273,0.67063,0.95545,0.9607,0.97761,0.97862,0.97801,0.12286,0.13131,0.3943,0.008416,0.008416,0.008416
18,6235.61,0.24785,0.65803,0.95273,0.96984,0.97835,0.985,0.98453,0.12752,0.12335,0.39824,0.008317,0.008317,0.008317
19,6577.37,0.24631,0.65381,0.95219,0.9718,0.97139,0.98434,0.98386,0.12823,0.13207,0.39537,0.008218,0.008218,0.008218
20,6919.47,0.24101,0.64098,0.9503,0.9794,0.97403,0.98781,0.98751,0.11703,0.11786,0.38602,0.008119,0.008119,0.008119
21,7261.6,0.2421,0.63648,0.94921,0.97587,0.97814,0.98651,0.9863,0.11579,0.11711,0.3843,0.00802,0.00802,0.00802
22,7603.65,0.23853,0.62797,0.94942,0.97332,0.98307,0.98842,0.98816,0.11431,0.11881,0.38696,0.007921,0.007921,0.007921
23,7946.17,0.23734,0.62512,0.94896,0.98086,0.98066,0.9895,0.98929,0.1208,0.12069,0.3913,0.007822,0.007822,0.007822
24,8287.6,0.23523,0.61696,0.94644,0.98058,0.98215,0.9902,0.99001,0.11323,0.11046,0.38431,0.007723,0.007723,0.007723
25,8630.02,0.23275,0.61287,0.94621,0.98035,0.98694,0.99156,0.99134,0.11481,0.1092,0.38519,0.007624,0.007624,0.007624
26,8971.83,0.23125,0.61179,0.9438,0.98493,0.98693,0.99253,0.99226,0.12511,0.11699,0.39313,0.007525,0.007525,0.007525
27,9313.82,0.2285,0.59948,0.94508,0.98624,0.98604,0.99237,0.99218,0.12498,0.11806,0.392,0.007426,0.007426,0.007426
28,9639.49,0.22883,0.60226,0.94438,0.98668,0.98877,0.99233,0.99208,0.1245,0.11772,0.39008,0.007327,0.007327,0.007327
29,9964.75,0.22638,0.5982,0.94323,0.98705,0.98847,0.99273,0.9925,0.11869,0.11111,0.38448,0.007228,0.007228,0.007228
30,10292.8,0.22418,0.58525,0.94089,0.98769,0.98896,0.99273,0.99256,0.11826,0.10866,0.38313,0.007129,0.007129,0.007129
31,10624.2,0.22428,0.59585,0.94287,0.98969,0.98707,0.99306,0.99285,0.12013,0.10885,0.38449,0.00703,0.00703,0.00703
32,10955.6,0.22222,0.58579,0.94069,0.98974,0.98746,0.993,0.99283,0.12001,0.11019,0.38465,0.006931,0.006931,0.006931
33,11287.1,0.22162,0.58269,0.94227,0.989,0.98858,0.993,0.99285,0.11873,0.1082,0.38328,0.006832,0.006832,0.006832
34,11618.8,0.2179,0.57268,0.93913,0.98809,0.98964,0.99301,0.9928,0.11783,0.10778,0.38259,0.006733,0.006733,0.006733
35,11950.6,0.21994,0.57736,0.94107,0.98891,0.98975,0.99306,0.9929,0.11944,0.10879,0.38379,0.006634,0.006634,0.006634
36,12282.7,0.21637,0.56618,0.93967,0.989,0.98952,0.99318,0.99299,0.11928,0.10797,0.3836,0.006535,0.006535,0.006535
37,12614.9,0.21506,0.56553,0.93719,0.9893,0.98946,0.99337,0.9932,0.11839,0.10702,0.38262,0.006436,0.006436,0.006436
38,12946.7,0.2149,0.56451,0.93941,0.98901,0.98971,0.99347,0.99338,0.11581,0.10427,0.38053,0.006337,0.006337,0.006337
39,13279,0.2128,0.55816,0.93668,0.99042,0.98928,0.9935,0.99334,0.11571,0.10327,0.38019,0.006238,0.006238,0.006238
40,13610.7,0.21217,0.55352,0.93743,0.99074,0.98916,0.99354,0.99346,0.11469,0.10122,0.37925,0.006139,0.006139,0.006139
41,13940.6,0.21071,0.55286,0.93552,0.99096,0.98841,0.9936,0.9935,0.1136,0.09991,0.37823,0.00604,0.00604,0.00604
42,14266,0.21088,0.55292,0.93619,0.99141,0.98798,0.99355,0.99345,0.11292,0.09914,0.37751,0.005941,0.005941,0.005941
43,14595.3,0.20684,0.54493,0.93466,0.99101,0.98915,0.99356,0.99346,0.11163,0.09774,0.37638,0.005842,0.005842,0.005842
44,14926.6,0.20699,0.54229,0.93333,0.99131,0.99006,0.99358,0.99348,0.11108,0.09714,0.37586,0.005743,0.005743,0.005743
45,15258.5,0.20658,0.53729,0.93481,0.99141,0.98997,0.99364,0.99355,0.10977,0.09583,0.37497,0.005644,0.005644,0.005644
46,15589.9,0.20432,0.53821,0.9344,0.99201,0.98977,0.99373,0.99361,0.10906,0.09508,0.37441,0.005545,0.005545,0.005545
47,15921.6,0.20431,0.5381,0.93368,0.99133,0.99015,0.99375,0.99368,0.10835,0.09461,0.37381,0.005446,0.005446,0.005446
48,16253.4,0.20425,0.53232,0.93332,0.99069,0.99108,0.99379,0.99375,0.10754,0.09419,0.37323,0.005347,0.005347,0.005347
49,16585.1,0.20264,0.53042,0.93299,0.99093,0.99122,0.99389,0.99387,0.10676,0.09341,0.37257,0.005248,0.005248,0.005248
50,16916.7,0.20243,0.52725,0.93159,0.99122,0.99235,0.99393,0.99392,0.10622,0.09257,0.37198,0.005149,0.005149,0.005149
51,17248.2,0.20095,0.52362,0.93063,0.99197,0.99266,0.994,0.99398,0.10592,0.09203,0.37144,0.00505,0.00505,0.00505
52,17579.2,0.20137,0.5241,0.93355,0.99191,0.99302,0.99406,0.99405,0.10562,0.09143,0.37098,0.004951,0.004951,0.004951
53,19378.7,0.19889,0.51635,0.9316,0.99162,0.99438,0.9941,0.99408,0.10542,0.0909,0.37075,0.004852,0.004852,0.004852
54,20379.8,0.19797,0.51419,0.9317,0.99205,0.99397,0.99414,0.99413,0.10542,0.0905,0.37074,0.004753,0.004753,0.004753
55,20700.9,0.19665,0.51311,0.93079,0.9924,0.9944,0.9942,0.99419,0.10508,0.08967,0.37044,0.004654,0.004654,0.004654
56,21037.1,0.19557,0.50493,0.92981,0.99292,0.99462,0.99423,0.99421,0.10504,0.08919,0.37026,0.004555,0.004555,0.004555
57,21363,0.19656,0.50912,0.93105,0.9927,0.99486,0.99425,0.99423,0.10606,0.0895,0.37073,0.004456,0.004456,0.004456
58,21691.9,0.19426,0.5069,0.92851,0.99281,0.99483,0.99426,0.99424,0.10662,0.08962,0.37095,0.004357,0.004357,0.004357
59,22017.7,0.1929,0.49922,0.92914,0.99289,0.99468,0.99428,0.99426,0.10703,0.08966,0.37105,0.004258,0.004258,0.004258
60,22343.7,0.19178,0.50217,0.92916,0.99314,0.99433,0.99429,0.99428,0.10714,0.08983,0.37087,0.004159,0.004159,0.004159
61,22669.7,0.19158,0.49877,0.92721,0.99345,0.99419,0.99433,0.99432,0.10657,0.08917,0.37053,0.00406,0.00406,0.00406
62,22995.3,0.18938,0.49189,0.92807,0.99398,0.99397,0.99438,0.99436,0.10771,0.08946,0.37125,0.003961,0.003961,0.003961
63,23321.1,0.18958,0.496,0.92735,0.99435,0.9943,0.9944,0.99438,0.10774,0.08903,0.37128,0.003862,0.003862,0.003862
64,23646.5,0.18739,0.48819,0.92679,0.99447,0.99443,0.99442,0.99439,0.1071,0.08852,0.37077,0.003763,0.003763,0.003763
65,23972.3,0.18638,0.48545,0.92626,0.99487,0.99443,0.99447,0.99445,0.10623,0.08789,0.37018,0.003664,0.003664,0.003664
66,24297.9,0.18578,0.47881,0.92641,0.99506,0.99441,0.9945,0.99448,0.10614,0.08777,0.37001,0.003565,0.003565,0.003565
67,24623.5,0.18507,0.47809,0.92533,0.99533,0.99439,0.99452,0.9945,0.10567,0.08767,0.36958,0.003466,0.003466,0.003466
68,24948.8,0.18392,0.47279,0.92578,0.99561,0.99442,0.99461,0.99458,0.10531,0.08713,0.36937,0.003367,0.003367,0.003367
69,25274.2,0.18177,0.47328,0.92573,0.99576,0.99439,0.99467,0.99465,0.10475,0.08658,0.36893,0.003268,0.003268,0.003268
